xax	2
xqf	1
xxz	2
xzakz	1
xcn	2
xuu	1
xjz	2
xoe	2
xaj	2
xzabk	4
xwm	2
xzahu	2
xzahg	1
xzaqa	1
xzasr	1
xth	2
xzaby	2
xml	2
xup	1
xtz	2
xzaop	2
xzaev	14
xzaix	2
xnv	2
xxt	2
xzabd	2
xyy	2
xrv	2
xec	1
xzaff	1
xzaua	2
xzaqi	1
xzamf	2
xim	1
xmm	2
xzans	2
xep	1
xzaef	1
xtq	1
xzasq	1
xjw	2
xzauq	2
xzags	2
xzast	1
xir	2
xaa	2
xhy	1
xcp	1
xzadv	1
xzaut	2
xzakd	2
xuw	1
xcj	2
xty	2
xmz	1
xqm	14
xjr	2
xzacc	14
xzabl	1
xmi	1
xzath	1
xcu	14
xpl	1
xzape	2
xcb	2
xzaen	14
xzamv	2
xzads	12
xed	1
xrp	2
xji	2
xti	2
xkn	2
xzapw	2
xzatl	2
xzaon	2
xxm	2
xic	1
xzaec	1
xlw	1
xtn	2
xzaei	2
xzane	1
xqe	2
xdz	1
xoc	1
xzatj	2
xzacz	1
xbh	2
xzapd	2
xzaof	2
xyq	2
xgn	2
xzash	2
xbs	16
xzajn	1
xrd	1
xzauc	2
xnq	1
xuk	1
xvf	1
xzabo	2
xtx	2
xzafd	2
xkl	1
xzaik	1
xzack	1
xsh	1
xzatf	1
xzaru	2
xzagk	1
xfb	14
xtj	2
xzapn	2
xev	2
xqr	2
xzavp	2
xjf	2
xzava	2
xzahp	2
xzadi	1
xzaeg	4
xjl	1
xov	2
xui	1
xel	2
xzaib	1
xzafz	1
xzabn	1
xzacb	1
xoa	2
xpq	1
xzahf	1
xzaax	1
xfd	2
xzaii	1
xzauf	2
xio	1
xzaom	1
xjj	2
xzalu	2
xzaqo	2
xzagp	14
xzarp	2
xzaqf	2
xpy	2
xbo	2
xzapg	1
xfr	2
xzajo	1
xon	2
xzabr	1
xxi	1
xzago	2
xij	1
xzais	2
xcr	2
xzagh	12
xzadt	2
xzabp	2
xek	2
xzafi	2
xzahe	2
xuh	14
xqc	2
xzauk	1
xll	2
xcm	2
xzacq	1
xfm	1
xzaan	2
xko	2
xzanv	2
xzard	2
xlg	1
xzaps	1
xzagy	1
xzabc	1
xzata	1
xzaur	1
xbg	1
xqu	1
xjq	2
xzadw	1
xxl	1
xzasm	1
xzarn	1
xzalz	2
xzacx	2
xzagr	2
xzaux	2
xzato	1
xwc	2
xrx	2
xzagf	2
xbt	1
xxb	2
xlt	2
xzalb	2
xzamp	2
xbk	2
xgf	1
xzaum	1
xzatc	1
xgc	2
xzaey	1
xei	1
xaf	2
xcl	2
xxj	2
xzaav	1
xzaag	2
xsb	1
xzapj	2
xzapx	2
